                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a_subj(LL.PD-On).13       1.29155     0.072905     1.15411     1.24162     1.28966      1.33936    1.43845  0.000430601
a_subj(LL.PD-On).14       1.14305    0.0740485     1.00228     1.09227     1.14166      1.19207    1.29278  0.000537409
a_subj(LL.PD-On).15       1.15991    0.0710221     1.02492     1.11116     1.15842      1.20656    1.30424  0.000477646
a_subj(SH.Control).0        1.079    0.0630684    0.960485     1.03543     1.07767      1.12056    1.20759  0.000412576
a_subj(SH.Control).1     0.953834    0.0587579    0.843352    0.913125    0.952083     0.992904    1.07324  0.000407665
a_subj(SH.Control).2      1.01571    0.0505447    0.920459    0.980768     1.01413      1.04886    1.11884    0.0002619
a_subj(SH.Control).3      1.11242    0.0649233    0.990373     1.06763     1.11053       1.1553    1.24385  0.000391792
a_subj(SH.Control).4     0.881788    0.0509812    0.785446    0.846965     0.88045     0.915465   0.985311  0.000338237
a_subj(SH.Control).5     0.988512    0.0579288    0.878917    0.948708    0.986823      1.02728    1.10575  0.000339576
a_subj(SH.Control).6      1.17665    0.0725833      1.0399     1.12662     1.17449       1.2245    1.32483  0.000571157
a_subj(SH.Control).7     0.855853    0.0438205    0.774052    0.825249    0.854639     0.885026   0.945415  0.000261723
a_subj(SH.Control).8     0.841416    0.0516032    0.745775    0.805636    0.839411     0.875656    0.94665   0.00037372
a_subj(SH.Control).10    0.880381    0.0516716    0.784468    0.844657    0.878742     0.914273   0.986702  0.000320055
a_subj(SH.Control).11    0.739149    0.0390903    0.665744    0.712142    0.738037       0.7647    0.81959  0.000208623
a_subj(SH.Control).12     1.08936    0.0658223    0.965308     1.04414     1.08776       1.1328    1.22235  0.000356107
a_subj(SH.Control).13    0.882148    0.0532353    0.782521     0.84499    0.880866     0.917255   0.991542  0.000346123
a_subj(SH.Control).14     1.04638    0.0686531     0.91686    0.999398     1.04471      1.09141    1.18604  0.000533671
a_subj(SH.Control).15     1.06539    0.0644479    0.943591     1.02132     1.06376      1.10799    1.19682  0.000479922
a_subj(SH.PD-Off).0       1.05139    0.0592679    0.939664      1.0102     1.04976       1.0908    1.17171  0.000353317
a_subj(SH.PD-Off).1       1.31363    0.0809397     1.16002     1.25827     1.31199      1.36746    1.47681  0.000578346
a_subj(SH.PD-Off).2      0.971816    0.0483545    0.880659    0.938712    0.970515      1.00392    1.06944  0.000233974
a_subj(SH.PD-Off).3       1.30783    0.0795087     1.15692     1.25385     1.30598      1.36002     1.4684  0.000508285
a_subj(SH.PD-Off).4       1.10438    0.0594837    0.992441     1.06323     1.10285      1.14371    1.22635   0.00030783
a_subj(SH.PD-Off).5       1.06202    0.0645003    0.940482     1.01774     1.06007       1.1044    1.19249  0.000425443
a_subj(SH.PD-Off).6      0.872152    0.0536865    0.773001    0.834889    0.870142     0.907363   0.982575  0.000434783
a_subj(SH.PD-Off).7       1.05604    0.0617109    0.940609     1.01336     1.05426      1.09665    1.18234  0.000297575
a_subj(SH.PD-Off).8      0.989867    0.0596215    0.878581    0.948659    0.987582      1.02872    1.11294  0.000415206
a_subj(SH.PD-Off).9       1.03228    0.0643668    0.910462    0.987795     1.03074       1.0749    1.16195  0.000383139
