                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v_subj(SH.Control).8    -0.0229248    0.0755409  -0.174717 -0.0707345   -0.0257609   0.0250049    0.122095   0.00476503
v_subj(SH.Control).10   -0.0240817    0.0752879  -0.176431 -0.0723725   -0.0264367   0.0240671    0.119039   0.00474814
v_subj(SH.Control).11   -0.0228163    0.0756134  -0.175634 -0.0711003   -0.0253527    0.025152    0.121455   0.00477416
v_subj(SH.Control).12   -0.0231303    0.0750399  -0.175043 -0.0709763    -0.025955   0.0253123    0.119696   0.00476631
v_subj(SH.Control).13    -0.024056    0.0752846  -0.176211 -0.0721501    -0.026845    0.023791    0.120143   0.00476583
v_subj(SH.Control).14   -0.0247934    0.0754979  -0.177341 -0.0731809   -0.0273774   0.0232855    0.118452   0.00474433
v_subj(SH.Control).15   -0.0238935    0.0747873  -0.175782 -0.0709803   -0.0263403   0.0237816    0.117519   0.00472075
v_subj(SH.PD-Off).0      0.0241017     0.063622  -0.100767 -0.0162994    0.0233203    0.063605    0.158572   0.00387112
v_subj(SH.PD-Off).1      0.0244966    0.0635212 -0.0994677 -0.0162584    0.0232947   0.0634075    0.160988   0.00388799
v_subj(SH.PD-Off).2      0.0235189     0.063282  -0.100396 -0.0171943    0.0230706   0.0629895    0.157546   0.00387729
v_subj(SH.PD-Off).3      0.0246012    0.0632059  -0.098937 -0.0158997    0.0236489   0.0637634    0.159157   0.00386921
v_subj(SH.PD-Off).4      0.0221771    0.0636289  -0.102313 -0.0187533    0.0211584   0.0617912    0.158009   0.00386744
v_subj(SH.PD-Off).5      0.0241034    0.0638977  -0.102678    -0.0166    0.0236401    0.063244    0.160614   0.00388864
v_subj(SH.PD-Off).6      0.0236659    0.0638518  -0.101018 -0.0174658    0.0227173   0.0632779    0.159356   0.00388762
v_subj(SH.PD-Off).7      0.0296633    0.0641412  -0.093819 -0.0117485    0.0282468   0.0681731    0.167393   0.00396407
v_subj(SH.PD-Off).8      0.0243169    0.0635182 -0.0991073 -0.0164323    0.0236485   0.0637704    0.159162   0.00389191
v_subj(SH.PD-Off).9      0.0247789     0.063601   -0.10034 -0.0158273    0.0240605    0.063855    0.160985   0.00388549
v_subj(SH.PD-Off).10     0.0265855    0.0636078 -0.0973979 -0.0141329    0.0256423   0.0655501    0.162932   0.00388501
