                              mean          std        2.5q         25q          50q          75q       97.5q       mc err
a_subj(SH.PD-Off).3        1.30706    0.0790604     1.15707     1.25275      1.30544      1.35988     1.46664  0.000435161
a_subj(SH.PD-Off).4        1.10458    0.0591122    0.993591     1.06382      1.10289      1.14351     1.22484  0.000254451
a_subj(SH.PD-Off).5        1.06181    0.0645214    0.940408     1.01727      1.06003      1.10445     1.19245  0.000409643
a_subj(SH.PD-Off).6       0.871758    0.0537564    0.771206    0.834449     0.870109     0.907056    0.982788  0.000366984
a_subj(SH.PD-Off).7        1.05476    0.0614222    0.939887     1.01253      1.05297      1.09534     1.17955  0.000295821
a_subj(SH.PD-Off).8       0.989716    0.0595371    0.878922    0.948679     0.988139      1.02866     1.11022  0.000385607
a_subj(SH.PD-Off).9        1.03299    0.0645855    0.911812    0.988192      1.03129      1.07603       1.163  0.000425108
a_subj(SH.PD-Off).10       1.18307      0.06153     1.06808      1.1409        1.181      1.22368     1.30851  0.000364733
a_subj(SH.PD-Off).11       1.09838    0.0507036     1.00236     1.06315      1.09724      1.13176     1.20249  0.000239232
a_subj(SH.PD-Off).12       1.02081    0.0486372    0.929788    0.987073      1.01925      1.05285     1.11973  0.000259211
a_subj(SH.PD-Off).13        1.1436    0.0621887     1.02636     1.10093      1.14223      1.18482     1.27059  0.000309212
a_subj(SH.PD-Off).14      0.894386    0.0588503    0.784275    0.853667     0.892315     0.933465     1.01423  0.000440163
a_subj(SH.PD-Off).15       1.25336    0.0786187     1.10369     1.19917      1.25193       1.3061     1.41056  0.000575119
a_subj(SH.PD-On).0         1.08468    0.0606483    0.969644     1.04316      1.08351      1.12427      1.2075  0.000358201
a_subj(SH.PD-On).1         1.05034    0.0628482    0.933216     1.00681      1.04786      1.09169      1.1796   0.00042152
a_subj(SH.PD-On).2         1.24821    0.0614055     1.13165     1.20586      1.24713      1.28869     1.37221  0.000291585
a_subj(SH.PD-On).3        0.922501    0.0511346    0.827887    0.887231     0.920238      0.95567     1.02887  0.000325146
a_subj(SH.PD-On).4         1.03026    0.0603341     0.91613    0.988708      1.02861      1.07029      1.1523  0.000371752
a_subj(SH.PD-On).5         1.31607     0.084214     1.15532     1.25829      1.31452      1.37208      1.4855  0.000556552
a_subj(SH.PD-On).6         1.06274    0.0676844    0.932632     1.01627      1.06161      1.10765     1.19879   0.00053599
a_subj(SH.PD-On).7         1.04454     0.051208    0.947271     1.00891      1.04319      1.07866     1.14749  0.000243049
a_subj(SH.PD-On).8         1.07176    0.0647645    0.949595      1.0272      1.06997      1.11416     1.20366  0.000397616
a_subj(SH.PD-On).9         1.01047    0.0637855    0.889771    0.966772      1.00889      1.05307     1.13918  0.000438293
a_subj(SH.PD-On).10        1.13884     0.058431     1.02922     1.09864      1.13708       1.1773     1.25788  0.000287124
a_subj(SH.PD-On).11       0.986106    0.0574659    0.879201    0.946366     0.984266       1.0241     1.10374  0.000325595
